Epoch,Batch,DLoss,GLoss,AdvLoss
0,0,8.341946601867676,12.535161018371582,5.825903415679932
0,50,3.400669574737549,4.4285430908203125,0.46041139960289
0,100,2.2232260704040527,3.6451563835144043,0.3420477509498596
1,0,2.8650636672973633,4.13129997253418,0.4619346261024475
1,50,2.65663743019104,3.0352814197540283,0.35666894912719727
1,100,2.6221656799316406,3.0100302696228027,0.3266727030277252
2,0,3.048369884490967,3.3254799842834473,0.5079485774040222
2,50,2.3313019275665283,2.8870034217834473,0.28250420093536377
2,100,2.0768964290618896,3.352377414703369,0.4702364206314087
3,0,4.393080711364746,2.6170685291290283,0.490310937166214
3,50,2.661036252975464,2.7012686729431152,0.22281304001808167
3,100,2.9062116146087646,2.745144844055176,0.42891886830329895
4,0,3.324036121368408,3.1267218589782715,0.40231814980506897
4,50,2.1793417930603027,3.193610191345215,0.41166621446609497
4,100,2.3702919483184814,3.0612597465515137,0.38728097081184387
5,0,2.496088981628418,3.049619197845459,0.4563283920288086
5,50,2.3081257343292236,3.311257839202881,0.43288084864616394
5,100,2.320923328399658,2.669055938720703,0.38995811343193054
6,0,2.3761370182037354,2.9809975624084473,0.5709071755409241
6,50,2.7995517253875732,2.3059167861938477,0.25975650548934937
6,100,1.94234037399292,2.6983091831207275,0.38259631395339966
7,0,2.780379056930542,3.108665943145752,0.3859829902648926
7,50,2.546065330505371,2.4328911304473877,0.2718985080718994
7,100,2.7110698223114014,1.956329584121704,0.18397346138954163
8,0,4.663349628448486,2.9707632064819336,0.24776308238506317
8,50,2.2208776473999023,2.61661958694458,0.5225635170936584
8,100,2.509457588195801,2.411433219909668,0.41457581520080566
9,0,3.4461071491241455,2.088656187057495,0.432341068983078
9,50,2.406210422515869,2.329270839691162,0.2539628744125366
9,100,2.3626139163970947,2.737332344055176,0.4292488694190979
10,0,2.140368938446045,2.655153751373291,0.5091771483421326
10,50,2.4609880447387695,2.8364155292510986,0.37462711334228516
10,100,2.3307406902313232,2.143922805786133,0.40049445629119873
11,0,3.593748092651367,2.8468050956726074,0.3064851462841034
11,50,2.241084337234497,2.686532497406006,0.3228219747543335
11,100,1.9786536693572998,2.7090039253234863,0.3614456355571747
12,0,3.457028865814209,2.4029178619384766,0.31014639139175415
12,50,1.9114341735839844,2.3789896965026855,0.2535094618797302
12,100,2.5364551544189453,2.4843027591705322,0.23720413446426392
13,0,2.4055657386779785,2.3506991863250732,0.4825440049171448
13,50,2.4797656536102295,2.553196907043457,0.2957947254180908
13,100,1.9429975748062134,2.6717629432678223,0.44962525367736816
14,0,3.4788477420806885,1.9651176929473877,0.45136559009552
14,50,2.3272922039031982,3.0159151554107666,0.637462317943573
14,100,3.7411248683929443,2.1512839794158936,0.17597892880439758
15,0,2.8914804458618164,2.36775803565979,0.4918137490749359
15,50,2.71325945854187,2.2508909702301025,0.21833500266075134
15,100,2.8141860961914062,2.588618278503418,0.4250239133834839
16,0,3.3714497089385986,2.2651662826538086,0.4056425094604492
16,50,2.4325215816497803,2.1836841106414795,0.31701046228408813
16,100,2.2629079818725586,2.382205009460449,0.4097509980201721
17,0,1.867549180984497,2.5576372146606445,0.5064550638198853
17,50,2.390674114227295,2.625211238861084,0.39970141649246216
17,100,2.0841658115386963,2.254575490951538,0.3746234178543091
18,0,2.5218069553375244,2.6050310134887695,0.3570808172225952
18,50,2.875685214996338,2.3470864295959473,0.30601561069488525
18,100,2.8215436935424805,2.1891775131225586,0.23731932044029236
19,0,1.8995013236999512,2.413872718811035,0.37857088446617126
19,50,3.081953525543213,2.1508569717407227,0.23670977354049683
19,100,2.523655891418457,2.0451536178588867,0.3152186870574951
20,0,2.0675981044769287,1.8939176797866821,0.244925856590271
20,50,1.9801278114318848,2.8658010959625244,0.8459370136260986
20,100,3.971662998199463,2.2770771980285645,0.16306935250759125
21,0,3.1767358779907227,2.225425958633423,0.3966532349586487
